;beautiful;classified;media;domain;original_filesize;normalized_filesize;frac_original_normalized;ARI;FRE;FKGL;FOG;SMOG;CLI;LIX;RIX
Beady Eye;;N;Songs;Music;17769;16813;0,946198435478;247,139960396000;-388,036500000000;192,838700000000;202,604000000000;18,124483462300;4,236600000000;512,029702970000;35,500000000000
Beatles;Y;Y;Songs;Music;11023;10658;0,966887417219;48,296479357800;16,839000000000;37,989300000000;44,119900000000;9,519202405200;2,966000000000;111,943425076000;3,208333333330
Berkeley;;N;Courses;Education;7377;7322;0,992544394740;13,702403485700;51,896500000000;11,486200000000;16,109300000000;14,108385409900;12,727000000000;51,847237818100;6,603773584910
Big Data;;N;Courses;Education;14887;14806;0,994559011218;13,659334085100;52,826500000000;11,853400000000;14,560400000000;12,502024075900;11,669400000000;49,150371815200;6,038461538460
BSDG;N;Y;Blog;Communication;10898;10776;0,988805285373;13,579534510400;52,293300000000;11,927700000000;18,267700000000;15,727922061400;11,195000000000;55,792124130600;7,693333333330
BVerwG;;N;Blog;Communication;28873;28557;0,989055518997;9,429114866910;66,032300000000;8,272400000000;13,414200000000;12,242113755300;10,281700000000;45,167933303100;4,812500000000
Carmine Gallo;Y;Y;Blog;Communication;37869;36937;0,975388840476;8,077337273760;73,001100000000;6,803600000000;10,774200000000;10,503622313700;9,359900000000;37,337540907000;3,398550724640
Cloudera;;N;Blog;IT;49807;48913;0,982050715763;13,064855858100;54,349600000000;11,144100000000;15,513900000000;13,612396092300;12,010800000000;49,827639886300;6,142076502730
Columbia;N;Y;Courses;Education;14041;13958;0,994088740118;16,986638179800;33,815300000000;15,001900000000;18,622900000000;15,830983841500;14,425900000000;61,277122864900;9,231707317070
DS' Scientific Papers;;N;Papers;Science;17763;17412;0,980239824354;10,472427755800;62,709000000000;8,736000000000;12,152500000000;11,457209365000;11,270800000000;42,252391445900;4,353658536590
DS' Blog;;N;Blog;IT;9246;8997;0,973069435432;4,767666361640;83,417100000000;4,605500000000;8,998300000000;9,278220957740;6,737300000000;29,194633014800;2,087591240880
Databricks;;N;Blog;IT;27970;27489;0,982803003218;16,331849580200;44,944200000000;13,449600000000;17,453500000000;14,867532319500;13,649200000000;56,019965467200;7,826347305390
DataStax;;N;Blog;IT;20070;19710;0,982062780269;14,006743975600;51,736600000000;12,253800000000;16,984500000000;14,496975738300;11,548500000000;52,020925376600;6,759398496240
David Cameron;Y;Y;Speeches;Communication;155800;153801;0,987169448010;9,499790462900;72,674900000000;8,091200000000;12,189300000000;10,997666565700;8,676200000000;40,411807458000;4,082555635320
